Start (s),End (s),Scientific name,Common name,Confidence,File
27,30,Spinus pinus,Pine Siskin,0.9557,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230715_094800.wav
0,3,Corvus corax,Common Raven,0.9556,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230831_092900.wav
3,6,Anthus rubescens,American Pipit,0.9542,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230831_115900.wav
30,33,Spinus pinus,Pine Siskin,0.9536,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230719_071800.wav
51,54,Corvus corax,Common Raven,0.9517,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230831_091400.wav
36,39,Spinus pinus,Pine Siskin,0.9511,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230813_083300.wav
57,60,Spinus pinus,Pine Siskin,0.9503,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230716_083400.wav
42,45,Spinus pinus,Pine Siskin,0.9488,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230716_083400.wav
18,21,Spinus pinus,Pine Siskin,0.9482,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230803_075600.wav
36,39,Charadrius semipalmatus,Semipalmated Plover,0.9477,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230728_210700.wav
15,18,Anthus rubescens,American Pipit,0.9469,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230807_075800.wav
33,36,Leucosticte tephrocotis,Gray-crowned Rosy-Finch,0.946,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230818_150700.wav
9,12,Leucosticte tephrocotis,Gray-crowned Rosy-Finch,0.9458,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230828_111900.wav
6,9,Spinus pinus,Pine Siskin,0.9449,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230720_082500.wav
48,51,Coccothraustes vespertinus,Evening Grosbeak,0.9444,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230820_085000.wav
24,27,Spinus pinus,Pine Siskin,0.9432,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230803_075600.wav
21,24,Anthus richardi,Richard's Pipit,0.9428,/Volumes/BLT_ARU0102/Robson_ARU/ARU02/Data/ARU02_20230828_131900.wav
