Start (s),End (s),Scientific name,Common name,Confidence,File
15.0,18.0,Mareca penelope,Eurasian Wigeon,0.1061,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_034600.wav
18.0,21.0,Myadestes townsendi,Townsend's Solitaire,0.1143,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_034600.wav
36.0,39.0,Myadestes townsendi,Townsend's Solitaire,0.1148,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_034600.wav
51.0,54.0,Tringa melanoleuca,Greater Yellowlegs,0.1340,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_034600.wav
57.0,60.0,Pluvialis squatarola,Black-bellied Plover,0.1111,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_034600.wav
0,3.0,Pinicola enucleator,Pine Grosbeak,0.2189,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_035100.wav
3.0,6.0,Pinicola enucleator,Pine Grosbeak,0.4460,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_035100.wav
6.0,9.0,Pinicola enucleator,Pine Grosbeak,0.3339,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_035100.wav
15.0,18.0,Turdus migratorius,American Robin,0.1645,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_035100.wav
24.0,27.0,Turdus migratorius,American Robin,0.1097,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_035100.wav
24.0,27.0,Haemorhous cassinii,Cassin's Finch,0.1064,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_035100.wav
30.0,33.0,Pinicola enucleator,Pine Grosbeak,0.1180,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_035100.wav
33.0,36.0,Turdus migratorius,American Robin,0.1719,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_035100.wav
33.0,36.0,Haemorhous cassinii,Cassin's Finch,0.1459,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_035100.wav
33.0,36.0,Myadestes townsendi,Townsend's Solitaire,0.1236,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_035100.wav
33.0,36.0,Pinicola enucleator,Pine Grosbeak,0.1046,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_035100.wav
36.0,39.0,Pinicola enucleator,Pine Grosbeak,0.1844,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_035100.wav
36.0,39.0,Myadestes townsendi,Townsend's Solitaire,0.1124,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_035100.wav
39.0,42.0,Myadestes townsendi,Townsend's Solitaire,0.2075,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_035100.wav
54.0,57.0,Pinicola enucleator,Pine Grosbeak,0.1139,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_035100.wav
54.0,57.0,Haemorhous cassinii,Cassin's Finch,0.1048,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_035100.wav
54.0,57.0,Turdus migratorius,American Robin,0.1036,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_035100.wav
57.0,60.0,Pinicola enucleator,Pine Grosbeak,0.1036,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_035100.wav
0,3.0,Contopus cooperi,Olive-sided Flycatcher,0.1683,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_035600.wav
0,3.0,Ixoreus naevius,Varied Thrush,0.1442,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_035600.wav
3.0,6.0,Ixoreus naevius,Varied Thrush,0.4434,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_035600.wav
6.0,9.0,Ixoreus naevius,Varied Thrush,0.3039,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_035600.wav
9.0,12.0,Turdus migratorius,American Robin,0.1356,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_035600.wav
