Start (s),End (s),Scientific name,Common name,Confidence,File
9.0,12.0,Haemorhous cassinii,Cassin's Finch,0.1216,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_035600.wav
12.0,15.0,Ixoreus naevius,Varied Thrush,0.1354,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_035600.wav
15.0,18.0,Zonotrichia leucophrys,White-crowned Sparrow,0.1619,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_035600.wav
18.0,21.0,Turdus migratorius,American Robin,0.1175,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_035600.wav
21.0,24.0,Turdus migratorius,American Robin,0.3034,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_035600.wav
24.0,27.0,Turdus migratorius,American Robin,0.1017,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_035600.wav
27.0,30.0,Ixoreus naevius,Varied Thrush,0.2587,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_035600.wav
27.0,30.0,Contopus cooperi,Olive-sided Flycatcher,0.1179,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_035600.wav
30.0,33.0,Ixoreus naevius,Varied Thrush,0.1839,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_035600.wav
30.0,33.0,Haemorhous cassinii,Cassin's Finch,0.1161,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_035600.wav
33.0,36.0,Empidonax oberholseri,Dusky Flycatcher,0.1960,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_035600.wav
36.0,39.0,Turdus migratorius,American Robin,0.1107,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_035600.wav
39.0,42.0,Turdus migratorius,American Robin,0.2011,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_035600.wav
45.0,48.0,Ixoreus naevius,Varied Thrush,0.3141,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_035600.wav
57.0,60.0,Turdus migratorius,American Robin,0.1820,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_035600.wav
0,3.0,Ixoreus naevius,Varied Thrush,0.3847,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_040100.wav
0,3.0,Zonotrichia albicollis,White-throated Sparrow,0.1135,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_040100.wav
3.0,6.0,Turdus migratorius,American Robin,0.2746,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_040100.wav
6.0,9.0,Haemorhous cassinii,Cassin's Finch,0.3421,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_040100.wav
6.0,9.0,Myadestes townsendi,Townsend's Solitaire,0.1484,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_040100.wav
9.0,12.0,Turdus migratorius,American Robin,0.1071,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_040100.wav
12.0,15.0,Turdus migratorius,American Robin,0.1107,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_040100.wav
15.0,18.0,Ixoreus naevius,Varied Thrush,0.1021,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_040100.wav
21.0,24.0,Ixoreus naevius,Varied Thrush,0.1720,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_040100.wav
21.0,24.0,Canachites canadensis,Spruce Grouse,0.1010,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_040100.wav
24.0,27.0,Haemorhous cassinii,Cassin's Finch,0.1150,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_040100.wav
30.0,33.0,Ixoreus naevius,Varied Thrush,0.5055,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_040100.wav
36.0,39.0,Ixoreus naevius,Varied Thrush,0.4239,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_040100.wav
39.0,42.0,Ixoreus naevius,Varied Thrush,0.3418,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_040100.wav
45.0,48.0,Ixoreus naevius,Varied Thrush,0.2304,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_040100.wav
45.0,48.0,Melospiza lincolnii,Lincoln's Sparrow,0.1391,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_040100.wav
48.0,51.0,Contopus cooperi,Olive-sided Flycatcher,0.1286,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_040100.wav
48.0,51.0,Pinicola enucleator,Pine Grosbeak,0.1135,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_040100.wav
51.0,54.0,Ixoreus naevius,Varied Thrush,0.1186,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_040100.wav
0,3.0,Turdus migratorius,American Robin,0.2043,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_040600.wav
6.0,9.0,Turdus migratorius,American Robin,0.3466,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_040600.wav
9.0,12.0,Turdus migratorius,American Robin,0.3311,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_040600.wav
15.0,18.0,Turdus migratorius,American Robin,0.2185,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_040600.wav
18.0,21.0,Turdus migratorius,American Robin,0.1247,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_040600.wav
24.0,27.0,Turdus migratorius,American Robin,0.3527,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_040600.wav
27.0,30.0,Turdus migratorius,American Robin,0.4145,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_040600.wav
30.0,33.0,Turdus migratorius,American Robin,0.1359,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_040600.wav
33.0,36.0,Turdus migratorius,American Robin,0.6350,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_040600.wav
36.0,39.0,Turdus migratorius,American Robin,0.3652,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_040600.wav
39.0,42.0,Myadestes townsendi,Townsend's Solitaire,0.4871,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_040600.wav
39.0,42.0,Turdus migratorius,American Robin,0.3307,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_040600.wav
39.0,42.0,Haemorhous cassinii,Cassin's Finch,0.1601,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_040600.wav
42.0,45.0,Haemorhous cassinii,Cassin's Finch,0.1752,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_040600.wav
48.0,51.0,Ixoreus naevius,Varied Thrush,0.4951,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_040600.wav
51.0,54.0,Ixoreus naevius,Varied Thrush,0.1313,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_040600.wav
57.0,60.0,Ixoreus naevius,Varied Thrush,0.2319,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_040600.wav
57.0,60.0,Melospiza lincolnii,Lincoln's Sparrow,0.2308,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_040600.wav
57.0,60.0,Sialia currucoides,Mountain Bluebird,0.1295,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_040600.wav
3.0,6.0,Ixoreus naevius,Varied Thrush,0.6568,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_041100.wav
3.0,6.0,Myadestes townsendi,Townsend's Solitaire,0.1006,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_041100.wav
6.0,9.0,Turdus migratorius,American Robin,0.1321,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_041100.wav
6.0,9.0,Melospiza lincolnii,Lincoln's Sparrow,0.1105,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_041100.wav
12.0,15.0,Turdus migratorius,American Robin,0.2621,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_041100.wav
12.0,15.0,Icterus galbula,Baltimore Oriole,0.1024,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_041100.wav
15.0,18.0,Ixoreus naevius,Varied Thrush,0.1678,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_041100.wav
18.0,21.0,Turdus migratorius,American Robin,0.2057,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_041100.wav
21.0,24.0,Turdus migratorius,American Robin,0.1287,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_041100.wav
24.0,27.0,Ixoreus naevius,Varied Thrush,0.2122,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_041100.wav
27.0,30.0,Ixoreus naevius,Varied Thrush,0.1022,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_041100.wav
30.0,33.0,Turdus migratorius,American Robin,0.2307,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_041100.wav
33.0,36.0,Ixoreus naevius,Varied Thrush,0.1355,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_041100.wav
36.0,39.0,Ixoreus naevius,Varied Thrush,0.1910,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_041100.wav
36.0,39.0,Melospiza lincolnii,Lincoln's Sparrow,0.1041,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_041100.wav
39.0,42.0,Turdus migratorius,American Robin,0.1192,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_041100.wav
51.0,54.0,Ixoreus naevius,Varied Thrush,0.1259,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_041100.wav
54.0,57.0,Ixoreus naevius,Varied Thrush,0.4458,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_041100.wav
3.0,6.0,Ixoreus naevius,Varied Thrush,0.1856,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_041600.wav
9.0,12.0,Contopus cooperi,Olive-sided Flycatcher,0.1359,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_041600.wav
9.0,12.0,Ixoreus naevius,Varied Thrush,0.1233,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_041600.wav
12.0,15.0,Ixoreus naevius,Varied Thrush,0.1551,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_041600.wav
15.0,18.0,Ixoreus naevius,Varied Thrush,0.6183,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_041600.wav
18.0,21.0,Ixoreus naevius,Varied Thrush,0.4019,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_041600.wav
18.0,21.0,Melospiza lincolnii,Lincoln's Sparrow,0.1552,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_041600.wav
24.0,27.0,Ixoreus naevius,Varied Thrush,0.6916,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_041600.wav
30.0,33.0,Ixoreus naevius,Varied Thrush,0.3509,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_041600.wav
30.0,33.0,Melospiza lincolnii,Lincoln's Sparrow,0.1268,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_041600.wav
36.0,39.0,Ixoreus naevius,Varied Thrush,0.1473,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_041600.wav
36.0,39.0,Melospiza lincolnii,Lincoln's Sparrow,0.1000,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_041600.wav
39.0,42.0,Ixoreus naevius,Varied Thrush,0.2033,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_041600.wav
42.0,45.0,Ixoreus naevius,Varied Thrush,0.3378,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_041600.wav
51.0,54.0,Contopus cooperi,Olive-sided Flycatcher,0.1219,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_041600.wav
54.0,57.0,Ixoreus naevius,Varied Thrush,0.7679,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_041600.wav
57.0,60.0,Icterus galbula,Baltimore Oriole,0.1096,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_041600.wav
3.0,6.0,Ixoreus naevius,Varied Thrush,0.4386,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042100.wav
3.0,6.0,Melospiza lincolnii,Lincoln's Sparrow,0.1284,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042100.wav
12.0,15.0,Ixoreus naevius,Varied Thrush,0.9330,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042100.wav
15.0,18.0,Ixoreus naevius,Varied Thrush,0.3130,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042100.wav
15.0,18.0,Setophaga palmarum,Palm Warbler,0.1048,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042100.wav
21.0,24.0,Ixoreus naevius,Varied Thrush,0.4405,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042100.wav
24.0,27.0,Turdus migratorius,American Robin,0.1169,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042100.wav
27.0,30.0,Ixoreus naevius,Varied Thrush,0.5034,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042100.wav
27.0,30.0,Melospiza lincolnii,Lincoln's Sparrow,0.1486,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042100.wav
30.0,33.0,Melospiza lincolnii,Lincoln's Sparrow,0.2018,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042100.wav
30.0,33.0,Ixoreus naevius,Varied Thrush,0.1191,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042100.wav
30.0,33.0,Zonotrichia leucophrys,White-crowned Sparrow,0.1172,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042100.wav
30.0,33.0,Contopus cooperi,Olive-sided Flycatcher,0.1082,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042100.wav
33.0,36.0,Melospiza lincolnii,Lincoln's Sparrow,0.1860,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042100.wav
33.0,36.0,Ixoreus naevius,Varied Thrush,0.1853,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042100.wav
33.0,36.0,Zonotrichia querula,Harris's Sparrow,0.1745,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042100.wav
33.0,36.0,Zonotrichia albicollis,White-throated Sparrow,0.1316,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042100.wav
36.0,39.0,Ixoreus naevius,Varied Thrush,0.1892,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042100.wav
36.0,39.0,Melospiza lincolnii,Lincoln's Sparrow,0.1134,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042100.wav
39.0,42.0,Ixoreus naevius,Varied Thrush,0.2377,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042100.wav
42.0,45.0,Ixoreus naevius,Varied Thrush,0.9840,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042100.wav
45.0,48.0,Ixoreus naevius,Varied Thrush,0.4941,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042100.wav
48.0,51.0,Ixoreus naevius,Varied Thrush,0.4195,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042100.wav
51.0,54.0,Ixoreus naevius,Varied Thrush,0.1827,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042100.wav
54.0,57.0,Ixoreus naevius,Varied Thrush,0.7491,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042100.wav
54.0,57.0,Zonotrichia querula,Harris's Sparrow,0.1550,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042100.wav
57.0,60.0,Ixoreus naevius,Varied Thrush,0.1672,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042100.wav
57.0,60.0,Melospiza lincolnii,Lincoln's Sparrow,0.1029,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042100.wav
0,3.0,Ixoreus naevius,Varied Thrush,0.1650,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042600.wav
0,3.0,Melospiza lincolnii,Lincoln's Sparrow,0.1303,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042600.wav
0,3.0,Spizella passerina,Chipping Sparrow,0.1063,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042600.wav
3.0,6.0,Melospiza lincolnii,Lincoln's Sparrow,0.1349,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042600.wav
6.0,9.0,Ixoreus naevius,Varied Thrush,0.1983,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042600.wav
6.0,9.0,Melospiza lincolnii,Lincoln's Sparrow,0.1479,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042600.wav
9.0,12.0,Ixoreus naevius,Varied Thrush,0.3639,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042600.wav
9.0,12.0,Melospiza lincolnii,Lincoln's Sparrow,0.1741,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042600.wav
9.0,12.0,Setophaga palmarum,Palm Warbler,0.1287,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042600.wav
12.0,15.0,Melospiza lincolnii,Lincoln's Sparrow,0.1130,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042600.wav
15.0,18.0,Melospiza lincolnii,Lincoln's Sparrow,0.2484,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042600.wav
15.0,18.0,Ixoreus naevius,Varied Thrush,0.2408,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042600.wav
15.0,18.0,Buteo platypterus,Broad-winged Hawk,0.1104,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042600.wav
18.0,21.0,Melospiza lincolnii,Lincoln's Sparrow,0.1528,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042600.wav
18.0,21.0,Gallinago delicata,Wilson's Snipe,0.1009,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042600.wav
21.0,24.0,Ixoreus naevius,Varied Thrush,0.9026,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042600.wav
21.0,24.0,Melospiza lincolnii,Lincoln's Sparrow,0.1259,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042600.wav
27.0,30.0,Ixoreus naevius,Varied Thrush,0.1817,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042600.wav
27.0,30.0,Melospiza lincolnii,Lincoln's Sparrow,0.1272,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042600.wav
27.0,30.0,Contopus cooperi,Olive-sided Flycatcher,0.1146,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042600.wav
30.0,33.0,Melospiza lincolnii,Lincoln's Sparrow,0.1299,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042600.wav
33.0,36.0,Ixoreus naevius,Varied Thrush,0.8552,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042600.wav
33.0,36.0,Melospiza lincolnii,Lincoln's Sparrow,0.1044,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042600.wav
36.0,39.0,Ixoreus naevius,Varied Thrush,0.8139,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042600.wav
39.0,42.0,Ixoreus naevius,Varied Thrush,0.2237,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042600.wav
39.0,42.0,Contopus cooperi,Olive-sided Flycatcher,0.1140,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042600.wav
42.0,45.0,Ixoreus naevius,Varied Thrush,0.4912,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042600.wav
42.0,45.0,Buteo platypterus,Broad-winged Hawk,0.1670,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042600.wav
42.0,45.0,Melospiza lincolnii,Lincoln's Sparrow,0.1641,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042600.wav
42.0,45.0,Canachites canadensis,Spruce Grouse,0.1381,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042600.wav
42.0,45.0,Zonotrichia albicollis,White-throated Sparrow,0.1167,I:/BC_Parks_Mount_Robson/Raw_audio/ARU01/Data\ARU01_20230713_042600.wav
